,Marital_Status,Income,Child,Customer_days,Total_Amount,Total_Purchases,Total_offer,cluster_value
161,0,70356.0,0,601,1706,33,0,1
162,0,23228.0,1,175,121,19,0,0
163,1,74165.0,0,424,1293,22,0,1
164,0,157243.0,1,120,1608,37,0,1
165,0,43482.0,3,228,88,15,0,0
166,1,62551.0,0,223,421,21,1,1
167,1,52332.0,0,305,259,16,1,0
168,1,66951.0,0,239,1117,16,0,1
169,0,26091.0,2,124,89,14,0,0
170,0,33456.0,2,69,36,13,0,0
171,0,28718.0,1,351,57,15,0,0
172,0,50447.0,2,69,148,14,0,0
173,0,53537.0,2,150,93,13,0,1
174,1,52074.0,1,86,119,11,1,0
175,0,80427.0,1,655,1835,33,0,1
176,0,83837.0,0,560,1318,29,3,1
177,0,38853.0,2,37,45,14,0,0
178,0,38285.0,3,5,10,6,0,0
179,0,78497.0,0,210,978,27,1,1
180,0,51650.0,1,49,191,15,0,0
181,0,16248.0,1,50,57,15,0,0
182,0,66835.0,0,274,1033,26,0,1
183,0,30477.0,1,158,66,12,0,0
184,0,28249.0,0,14,43,12,0,0
185,0,25271.0,1,571,50,14,0,0
186,1,32303.0,1,113,39,12,0,0
187,0,61286.0,1,331,608,23,0,1
188,0,74068.0,0,467,1581,26,0,1
189,0,45759.0,2,491,68,14,0,0
190,0,24882.0,1,658,80,11,1,0
191,0,66973.0,0,408,1282,31,0,1
193,0,38872.0,1,395,91,16,0,0
194,0,51148.0,2,496,315,22,0,0
195,0,31353.0,2,182,31,14,0,0
196,0,69661.0,0,47,834,26,0,1
197,0,80067.0,0,283,1600,19,1,1
198,0,86718.0,0,528,1270,19,0,1
199,1,46854.0,2,90,263,23,2,0
200,1,69142.0,1,0,535,24,1,1
201,1,75922.0,0,202,1295,19,0,1
202,1,63693.0,1,258,1150,35,0,1
203,0,102160.0,0,604,1240,30,4,1
204,1,40637.0,2,347,38,13,0,0
205,1,18890.0,0,596,35,10,2,0
206,0,29604.0,1,203,53,14,1,0
207,1,48721.0,2,412,293,23,0,0
208,0,44794.0,1,21,65,12,0,0
209,1,64497.0,1,657,1804,37,2,1
210,0,46097.0,1,455,241,19,0,0
211,0,77972.0,0,103,1101,21,0,1
212,0,44377.0,2,632,264,27,0,0
213,0,46014.0,2,524,541,33,0,0
214,0,70951.0,0,421,1198,18,0,1
215,0,41443.0,1,89,482,28,0,0
216,1,52195.0,3,48,17,12,0,0
217,0,83790.0,0,226,1615,28,2,1
218,1,44551.0,1,302,285,19,0,0
219,0,69508.0,1,592,1135,34,0,1
220,0,45204.0,1,79,114,10,0,0
221,0,72460.0,0,227,1047,17,0,1
222,0,77622.0,2,76,714,25,0,1
223,0,30732.0,1,540,185,21,0,0
224,1,63887.0,1,659,1245,38,0,1
225,0,42011.0,1,460,189,20,0,0
226,0,51369.0,1,612,576,24,0,0
227,1,51537.0,1,567,1103,26,0,0
228,0,79930.0,0,690,1753,19,0,1
229,0,34320.0,1,133,17,12,0,0
230,1,37070.0,2,466,433,30,1,0
231,1,81975.0,1,540,1588,21,1,1
232,0,38590.0,1,410,22,12,0,0
233,1,15033.0,0,74,19,8,0,0
234,0,62745.0,1,463,1117,34,0,1
235,0,22212.0,1,202,69,14,0,0
236,0,23661.0,1,207,23,12,0,0
237,1,79761.0,1,268,605,22,0,1
238,1,7500.0,1,185,57,18,0,0
240,1,73455.0,0,244,2088,25,1,1
241,0,64961.0,1,553,1009,19,0,1
242,1,22804.0,1,333,26,14,0,0
243,0,73687.0,0,213,1627,24,2,1
244,0,61074.0,1,681,1102,38,0,1
245,0,31686.0,2,24,17,12,0,0
246,0,80134.0,1,405,1690,22,4,1
247,0,75027.0,1,536,1390,26,0,1
248,0,67546.0,0,667,2126,23,0,1
249,0,65176.0,1,608,1531,31,0,1
250,1,31160.0,1,286,64,15,0,0
251,1,29938.0,1,245,26,12,0,0
252,1,102692.0,0,450,1112,31,5,1
253,0,26490.0,0,645,210,17,0,0
254,0,75702.0,2,669,1148,34,0,1
255,1,30899.0,1,624,33,12,0,0
256,0,63342.0,1,621,1101,25,1,1
257,1,45989.0,1,615,322,19,0,0
258,1,18701.0,2,390,44,15,0,0
259,1,40737.0,3,203,17,12,0,0
260,1,15287.0,1,627,31,13,2,0
261,1,69674.0,2,403,845,30,0,1
262,0,44159.0,1,12,275,20,0,0
263,0,37717.0,1,583,25,13,0,0
264,0,43776.0,2,511,275,25,1,0
265,0,38179.0,2,472,90,18,0,0
266,0,80124.0,0,3,1495,20,1,1
267,0,38097.0,2,622,184,18,2,0
268,0,72940.0,0,375,981,14,0,1
269,0,22070.0,1,268,67,14,0,0
270,1,69267.0,0,645,1635,21,1,1
271,1,31788.0,1,101,60,15,0,0
272,0,61905.0,1,145,231,17,0,1
273,0,29315.0,2,84,48,16,0,0
274,1,33378.0,2,508,99,16,0,0
275,0,66313.0,1,286,770,27,0,1
276,1,60714.0,0,528,957,28,1,1
277,0,77882.0,0,60,818,13,0,1
278,1,69867.0,0,453,925,18,2,1
279,1,63841.0,1,434,908,28,0,1
280,0,24480.0,1,503,102,17,0,0
281,0,51369.0,1,612,576,24,0,0
282,0,37760.0,0,667,317,20,0,0
283,0,65640.0,1,120,461,17,0,1
284,0,44319.0,2,73,37,12,0,0
285,0,30631.0,1,352,70,14,0,0
286,0,75278.0,0,516,930,26,0,1
287,0,50898.0,2,537,859,38,0,0
288,1,79946.0,0,48,1478,25,0,1
289,1,35416.0,0,381,390,24,0,0
290,0,32414.0,0,360,52,12,1,0
291,0,38361.0,1,184,137,17,0,0
292,0,82497.0,0,606,1919,23,1,1
293,0,16626.0,2,165,68,18,0,0
294,0,29672.0,2,474,25,10,0,0
295,0,55951.0,1,675,1374,31,2,1
296,1,35388.0,1,479,32,12,0,0
297,0,42386.0,1,532,100,15,0,0
298,1,68627.0,0,533,825,13,0,1
299,1,57912.0,1,104,916,33,1,1
300,1,35246.0,2,74,62,16,0,0
301,0,58821.0,1,260,728,27,0,1
302,0,46377.0,1,120,90,11,0,0
303,1,39747.0,1,77,273,21,0,0
304,0,23976.0,1,184,66,17,0,0
305,0,80950.0,0,458,1213,25,1,1
306,1,27038.0,0,649,107,16,1,0
307,1,77457.0,0,116,1157,19,1,1
308,0,64100.0,1,292,546,25,1,1
309,0,42670.0,0,428,241,15,0,0
310,1,12571.0,1,162,53,17,0,0
311,0,22574.0,3,244,37,14,0,0
312,0,51381.5,0,391,1611,27,2,0
313,1,70893.0,0,508,1508,26,0,1
314,0,54198.0,2,194,235,20,0,1
315,0,28839.0,2,110,32,12,0,0
316,0,40321.0,2,335,102,15,0,0
317,1,66503.0,1,684,401,18,0,1
318,0,30833.0,2,348,28,11,0,0
319,1,51381.5,3,310,1052,28,2,0
320,0,64795.0,1,528,680,23,0,1
321,0,34421.0,1,363,30,11,0,0
322,1,47025.0,2,140,20,11,0,0
323,1,64325.0,1,507,1307,30,0,1
324,1,40464.0,1,534,630,32,0,0
325,0,62187.0,0,359,1283,21,0,1
326,1,14849.0,1,362,65,17,0,0
327,0,27255.0,1,234,37,12,0,0
328,0,54432.0,3,416,38,9,0,1
329,1,29999.0,1,501,160,20,0,0
330,1,24072.0,1,439,23,12,0,0
331,1,33996.0,0,291,71,10,0,0
332,0,66334.0,1,452,1161,24,1,1
333,0,35178.0,1,535,59,12,2,0
334,0,22010.0,1,364,33,15,0,0
335,1,62204.0,2,655,946,25,0,1
336,1,75693.0,0,570,1442,26,4,1
337,0,30675.0,1,594,62,13,0,0
338,0,83003.0,0,483,1674,25,2,1
340,1,68655.0,0,688,1538,24,0,1
341,1,41411.0,0,204,139,14,0,0
342,0,55212.0,1,583,1182,28,2,1
343,0,59292.0,1,381,507,21,0,1
344,0,27190.0,1,318,18,12,2,0
345,1,82623.0,0,231,940,17,0,1
346,0,44300.0,2,371,42,12,0,0
347,1,84835.0,0,13,1190,16,1,1
348,1,30372.0,2,551,44,15,0,0
349,0,33181.0,1,177,16,10,1,0
350,0,71113.0,1,194,835,30,0,1
351,0,71952.0,1,535,1443,26,2,1
352,1,69759.0,0,244,1029,21,1,1
353,0,72099.0,0,610,1188,19,0,1
354,1,60000.0,1,554,1277,30,0,1
355,1,38643.0,2,212,49,14,0,0
356,0,50737.0,1,414,99,13,1,0
357,0,68462.0,0,564,1670,16,0,1
358,0,65073.0,0,313,900,16,0,1
359,0,46681.0,2,264,425,21,0,0
360,0,78618.0,0,639,2153,24,1,1
361,1,62187.0,1,99,636,25,0,1
362,0,28442.0,2,125,57,14,0,0
363,0,37717.0,1,583,25,13,0,0
364,0,51479.0,2,548,494,29,0,0
365,1,54803.0,1,677,693,23,0,1
366,0,79530.0,0,408,1348,28,0,1
367,1,31615.0,1,470,51,14,0,0
368,0,72025.0,0,589,1932,19,0,1
369,1,52614.0,1,575,990,24,0,0
370,0,35684.0,1,68,30,11,0,0
371,0,48178.0,2,609,254,24,0,0
372,1,29548.0,1,304,29,9,1,0
373,1,63810.0,1,595,1371,31,1,1
374,1,38578.0,2,372,73,17,1,0
375,1,46098.0,2,680,120,19,0,0
376,1,22585.0,0,468,81,14,2,0
377,1,30279.0,1,546,37,13,0,0
378,0,66426.0,1,270,1377,26,0,1
379,1,30822.0,1,380,51,12,0,0
380,0,33581.0,2,537,17,12,0,0
381,0,19986.0,1,227,22,11,0,0
382,1,27421.0,0,564,324,21,0,0
383,0,35688.0,3,676,211,24,0,0
384,1,36143.0,1,91,19,7,0,0
385,1,10245.0,1,410,41,13,0,0
386,0,43795.0,1,256,492,24,2,0
387,0,63381.0,1,632,1005,28,0,1
388,0,38823.0,1,668,114,13,0,0
389,1,83664.0,2,417,1173,24,0,1
390,0,90300.0,0,177,1738,20,1,1
391,0,62499.0,1,202,222,16,0,1
392,1,74293.0,0,56,1127,18,0,1
393,0,51012.0,0,437,209,16,0,0
394,0,70777.0,1,124,787,26,0,1
395,0,68682.0,0,266,1598,26,0,1
396,0,43824.0,2,652,186,20,0,0
397,0,15345.0,1,667,47,14,1,0
398,1,23442.0,1,552,27,12,0,0
399,0,14515.0,1,597,96,18,1,0
400,1,31395.0,2,463,64,16,0,0
401,0,75276.0,0,640,1040,28,0,1
402,1,42373.0,2,318,163,18,0,0
403,0,30507.0,0,475,343,18,0,0
404,1,55521.0,3,250,446,31,2,1
405,0,48006.0,2,20,41,11,0,0
406,1,27213.0,1,668,70,17,1,0
407,1,65808.0,2,30,272,20,0,1
408,0,30351.0,1,388,46,15,0,0
409,0,50437.0,2,620,490,26,0,0
410,1,23616.0,1,589,79,16,1,0
411,0,53858.0,1,597,915,21,0,1
412,0,66465.0,1,456,1485,41,1,1
413,1,46923.0,1,676,369,23,0,0
414,0,75072.0,1,522,1073,22,0,1
415,0,75865.0,0,90,1242,20,0,1
416,0,19789.0,1,221,78,14,1,0
417,0,80134.0,0,135,1378,26,4,1
418,1,91065.0,0,492,1474,29,3,1
419,0,49505.0,2,481,751,37,0,0
420,0,37401.0,1,54,48,14,0,0
421,0,30096.0,1,38,45,12,0,0
422,0,18492.0,1,24,10,12,0,0
423,0,82584.0,0,390,1435,17,3,1
424,0,93027.0,0,442,2119,24,1,1
425,0,48686.0,3,207,20,12,0,0
426,0,92910.0,0,66,1795,28,3,1
427,0,75433.0,1,85,1188,25,2,1
428,0,10404.0,1,56,43,12,0,0
429,0,61314.0,1,430,1008,27,0,1
430,1,84865.0,0,416,1688,20,5,1
431,0,42387.0,1,608,684,29,0,0
432,0,67309.0,2,522,1082,46,0,1
433,0,75236.0,1,216,1068,29,0,1
434,1,30015.0,1,147,57,12,0,0
435,0,50943.0,1,373,46,10,0,0
436,1,67272.0,1,190,733,28,0,1
437,1,51529.0,1,295,467,25,0,0
438,0,32011.0,1,311,122,17,0,0
439,0,7500.0,1,507,36,15,0,0
440,0,28691.0,1,360,34,13,0,0
441,0,56223.0,1,191,156,14,0,1
442,0,18100.0,0,327,14,9,0,0
443,1,30279.0,1,546,37,13,0,0
444,0,20130.0,0,104,34,13,0,0
445,1,23295.0,0,351,20,12,0,0
446,1,42618.0,1,263,192,19,0,0
447,1,81246.0,0,182,1379,18,2,1
448,0,24027.0,1,385,48,15,0,0
449,0,55707.0,1,189,428,19,0,1
450,1,57959.0,1,423,868,30,0,1
451,0,56796.0,1,498,1001,34,0,1
452,1,36230.0,1,255,59,12,0,0
453,0,70829.0,2,210,431,19,0,1
454,0,65991.0,1,660,971,34,0,1
455,0,38988.0,3,678,348,27,0,0
456,1,89572.0,0,652,2059,28,3,1
457,0,42207.0,1,454,265,20,2,0
458,0,50300.0,1,35,270,15,0,0
459,0,66664.0,0,642,1289,22,0,1
460,0,60597.0,1,179,893,23,2,1
461,1,70165.0,0,280,926,23,0,1
462,1,50520.0,1,152,135,15,0,0
463,0,80124.0,0,3,1495,20,1,1
464,0,33183.0,1,125,120,16,0,0
465,1,66582.0,0,118,1288,21,0,1
466,0,75261.0,0,432,1743,19,3,1
467,1,31880.0,1,606,15,12,0,0
468,0,53790.0,2,115,542,26,0,1
469,0,49269.0,1,683,890,32,0,0
470,0,61456.0,1,459,1388,37,0,1
471,0,37406.0,1,262,17,12,1,0
472,0,56937.0,1,694,906,36,2,1
473,0,38415.0,2,543,44,13,0,0
474,1,20518.0,1,42,25,10,0,0
475,0,62503.0,1,496,973,31,0,1
476,1,41644.0,2,51,31,9,0,0
477,0,55842.0,1,37,518,22,0,1
478,0,62010.0,1,614,530,24,0,1
479,0,41124.0,1,606,506,29,0,0
480,0,38961.0,1,181,70,13,0,0
481,1,37760.0,1,322,54,12,0,0
482,1,32233.0,1,679,296,21,2,0
483,0,43057.0,1,242,266,20,0,0
484,0,83151.0,0,627,747,22,0,1
485,1,78825.0,0,653,895,32,1,1
486,0,65104.0,1,227,1053,24,0,1
487,0,60093.0,1,368,735,27,0,1
488,0,14045.0,1,154,20,12,0,0
489,1,28457.0,0,609,205,18,0,0
490,0,78952.0,1,643,2092,27,0,1
491,1,46310.0,1,573,309,22,0,0
492,0,76005.0,0,492,1722,28,1,1
493,1,58308.0,1,533,900,23,0,1
494,1,55614.0,0,214,682,27,1,1
495,1,59432.0,1,442,663,27,0,1
496,1,55563.0,1,85,43,9,0,1
497,0,78642.0,1,434,1816,24,0,1
498,0,67911.0,1,38,976,30,0,1
499,0,65275.0,0,452,746,23,0,1
500,0,27203.0,2,692,64,14,0,0
501,0,48330.0,1,226,32,10,0,0
502,0,24279.0,0,547,263,17,0,0
503,0,64355.0,1,674,1445,29,0,1
504,0,50943.0,1,373,46,10,0,0
505,1,53653.0,0,599,1210,34,0,1
506,0,65665.0,1,209,945,27,0,1
507,1,81217.0,0,345,1157,23,0,1
508,0,34935.0,0,373,137,15,0,0
509,1,61250.0,1,560,730,30,0,1
510,0,39665.0,1,400,216,19,1,0
511,1,60152.0,1,458,943,26,0,1
512,0,48920.0,2,252,347,23,1,0
513,0,89120.0,0,104,1924,20,1,1
514,0,44124.0,1,414,397,25,0,0
515,1,81169.0,0,441,2089,24,0,1
516,0,36443.0,2,511,138,19,0,0
517,1,26095.0,1,364,42,12,0,0
518,0,71367.0,0,310,777,19,0,1
519,0,80184.0,0,120,1902,23,2,1
520,1,30630.0,2,153,52,14,0,0
521,1,73454.0,0,120,1651,18,1,1
522,0,42691.0,0,317,358,18,0,0
523,0,70503.0,0,637,1727,22,2,1
524,0,25545.0,1,659,210,16,1,0
525,0,32880.0,1,572,42,13,0,0
526,0,77863.0,0,214,1291,22,0,1
527,0,50353.0,0,21,442,18,0,0
528,1,61839.0,0,686,1895,25,0,1
529,0,49154.0,2,238,411,25,0,0
530,1,47682.0,1,499,521,24,0,0
531,1,72679.0,1,284,1168,18,0,1
532,0,57954.0,2,11,493,30,1,1
533,0,65316.0,2,431,260,16,0,1
534,1,28567.0,1,377,46,13,0,0
535,0,47352.0,1,444,319,23,0,0
536,0,44931.0,1,162,96,12,0,0
537,1,76982.0,0,134,1062,20,2,1
538,0,57247.0,1,325,232,14,0,1
539,1,22944.0,1,188,76,16,0,0
540,0,25315.0,1,234,54,17,0,0
541,1,43638.0,1,692,201,18,0,0
542,1,42710.0,1,578,406,20,0,0
543,0,84169.0,0,326,1919,23,3,1
544,0,54058.0,1,390,662,23,0,1
545,0,24683.0,1,113,41,13,0,0
546,1,85620.0,0,173,1600,15,1,1
547,0,47850.0,1,208,134,14,0,0
548,0,19514.0,2,154,69,18,2,0
549,0,27159.0,2,92,21,12,0,0
550,1,39548.0,2,90,54,10,0,0
551,1,21474.0,1,82,91,15,2,0
552,1,60504.0,1,142,526,24,0,1
553,0,22419.0,0,437,162,16,0,0
554,0,81698.0,0,235,1008,26,1,1
555,0,43462.0,2,655,240,24,0,0
556,1,54880.0,1,485,795,26,0,1
557,0,79908.0,0,450,1772,21,1,1
558,0,15315.0,0,330,64,13,0,0
559,0,87771.0,1,403,1957,26,5,1
560,0,33039.0,1,293,78,12,0,0
561,1,81741.0,0,378,1572,21,0,1
562,0,71499.0,1,369,795,30,0,1
563,0,62466.0,1,165,889,30,0,1
564,1,48799.0,1,236,331,18,0,0
565,0,52157.0,1,22,265,16,0,0
566,1,66565.0,1,571,1065,27,0,1
567,0,29298.0,2,295,11,9,0,0
568,1,47691.0,1,359,21,10,0,0
569,0,38200.0,2,569,17,11,0,0
570,0,44989.0,1,655,369,22,0,0
571,0,38443.0,2,153,38,13,0,0
572,1,38593.0,1,289,177,19,0,0
573,0,64413.0,1,332,279,17,0,1
574,0,36959.0,1,270,62,15,0,0
575,0,61996.0,1,514,1230,26,4,1
576,0,51287.0,2,89,182,18,0,0
577,0,13260.0,2,310,49,18,0,0
578,0,47472.0,2,286,75,13,0,0
579,0,54603.0,2,355,227,23,0,1
580,0,45207.0,2,596,215,21,1,0
581,0,40689.0,1,468,444,28,0,0
582,0,47821.0,2,252,47,13,0,0
583,0,27450.0,0,440,143,14,0,0
584,0,39453.0,1,87,55,13,0,0
585,0,26850.0,2,72,63,15,0,0
586,1,79800.0,0,644,1867,25,4,1
587,0,61794.0,1,288,611,22,0,1
588,0,53863.0,1,43,473,25,1,1
589,0,24221.0,0,313,55,10,0,0
590,1,39684.0,1,625,81,14,1,0
591,0,92163.0,0,564,2086,23,3,1
592,1,69882.0,0,231,1478,21,0,1
593,0,33178.0,1,150,49,9,0,0
594,0,59973.0,0,291,382,16,0,1
595,0,17459.0,1,283,69,16,1,0
596,1,23910.0,1,611,67,13,0,0
597,0,42169.0,2,253,30,14,0,0
598,0,26224.0,1,390,63,15,0,0
599,0,31089.0,1,681,79,18,0,0
600,1,30081.0,1,493,42,12,0,0
601,0,62807.0,1,667,819,28,0,1
602,1,72906.0,0,285,1151,18,0,1
603,0,61467.0,2,567,594,25,0,1
604,0,49618.0,2,519,129,18,0,0
605,1,21888.0,1,547,213,22,1,0
606,1,42429.0,1,138,67,12,0,0
607,1,26150.0,3,475,28,12,0,0
608,0,30801.0,1,611,45,13,0,0
609,0,81168.0,0,53,1193,21,1,1
610,1,26877.0,0,314,268,18,0,0
611,1,45006.0,0,346,266,15,0,0
612,0,18978.0,1,565,37,13,0,0
613,0,22574.0,3,244,37,14,0,0
614,1,48240.0,0,597,882,30,1,0
615,0,45837.0,2,338,373,25,0,0
616,1,35791.0,3,419,35,14,0,0
617,0,162397.0,2,391,107,2,0,1
618,1,54162.0,2,468,42,9,0,1
619,0,30522.0,1,681,326,19,0,0
620,0,54456.0,1,353,404,23,0,1
621,1,31632.0,0,350,95,13,0,0
622,1,72298.0,0,111,939,15,2,1
623,1,36975.0,1,183,33,12,0,0
624,0,72635.0,0,391,981,24,1,1
625,0,13624.0,1,525,36,13,0,0
626,1,84196.0,1,391,1237,23,0,1
627,0,70971.0,1,646,1825,41,1,1
628,1,34487.0,2,661,103,18,0,0
629,1,28769.0,1,558,191,21,0,0
630,0,69084.0,1,222,1586,33,0,1
631,0,65488.0,0,16,963,15,0,1
632,0,62466.0,1,165,889,30,0,1
633,1,32218.0,0,134,93,14,2,0
634,1,83917.0,0,437,1587,24,1,1
635,1,46102.0,3,111,16,11,0,0
636,1,84574.0,0,390,1375,37,0,1
637,0,56181.0,1,537,393,18,0,1
638,1,63120.0,1,639,1477,33,1,1
639,0,73691.0,1,235,1179,20,1,1
640,0,63381.0,1,632,1005,28,0,1
641,0,76140.0,0,47,1348,23,0,1
642,1,62859.0,1,546,1307,29,0,1
643,1,45906.0,1,418,486,20,1,0
644,0,77632.0,0,476,2252,15,3,1
645,0,46463.0,2,315,235,23,0,0
646,0,105471.0,0,524,1724,33,3,1
647,1,55282.0,1,198,235,15,0,1
648,0,78710.0,1,37,1092,32,0,1
649,0,66886.0,1,286,599,22,0,1
650,1,98777.0,0,132,2008,20,1,1
651,0,29103.0,1,671,48,15,0,0
652,0,67445.0,1,686,1174,38,0,1
653,0,50616.0,1,77,67,9,0,0
654,1,49431.0,1,695,365,23,0,0
655,1,153924.0,0,142,6,0,0,1
656,0,61278.0,1,176,165,16,0,1
